,Unnamed: 0,index,Title,Director,Cast,Genre,comb
4525,4525,4525,Chalti Ka Naam Gaadi,['Satyen Bose'],Ashok Kumar|Madhubala|Anoop Kumar|Kishore Kumar|K.N. Singh|Sajjan|S.N. Banerjee|Mohan Choti|Sahira|Kamal|Veena|Helen|,Comedy|Musical|Romance,Satyen Bose ComedyMusicalRomance Ashok KumarMadhubalaAnoop KumarKishore KumarKN SinghSajjanSN BanerjeeMohan ChotiSahiraKamalVeenaHelen Chalti Ka Naam Gaadi
4526,4526,4526,Howrah Bridge,['Mani Ratnam'],Madhubala|Ashok Kumar|K.N. Singh|Om Prakash|Madan Puri|Dhumal|Kammo|Sunder|,Musical|Thriller,Mani Ratnam MusicalThriller MadhubalaAshok KumarKN SinghOm PrakashMadan PuriDhumalKammoSunder Howrah Bridge
4527,4527,4527,Veerapandiya Kattabomman,['B. Ramakrishnaiah Panthulu'],Shivaji Ganesan|Gemini Ganesan|Padmini|Varalakshmi S.|Ragini|V.K. Ramasamy|O.A.K. Thevar|,Biography|Drama|History,B Ramakrishnaiah Panthulu BiographyDramaHistory Shivaji GanesanGemini GanesanPadminiVaralakshmi SRaginiVK RamasamyOAK Thevar Veerapandiya Kattabomman
4528,4528,4528,Yahudi,['Bimal Roy'],Sohrab Modi|Dilip Kumar|Meena Kumari|Nigar Sultana|Nasir Hussain|Anwar Hussain|Minoo Mumtaz|Tiwari|Murad|Indira|Adil|Vikram Kapoor|Kumari Naaz|Master Romi|,Action|Drama|Romance,Bimal Roy ActionDramaRomance Sohrab ModiDilip KumarMeena KumariNigar SultanaNasir HussainAnwar HussainMinoo MumtazTiwariMuradIndiraAdilVikram KapoorKumari NaazMaster Romi Yahudi
4529,4529,4529,Yahudi,['Bimal Roy'],Sohrab Modi|Dilip Kumar|Meena Kumari|Nigar Sultana|Nasir Hussain|Anwar Hussain|Minoo Mumtaz|Tiwari|Murad|Indira|Adil|Vikram Kapoor|Kumari Naaz|Master Romi|,Action|Drama|Romance,Bimal Roy ActionDramaRomance Sohrab ModiDilip KumarMeena KumariNigar SultanaNasir HussainAnwar HussainMinoo MumtazTiwariMuradIndiraAdilVikram KapoorKumari NaazMaster Romi Yahudi
4530,4530,4530,Phagun,['Rajinder Singh Bedi'],Madhubala|Bharat Bhushan|Jeevan|Kammo|Nishi|Cuckoo|Dhumal|Mehmood|Murad|Badri Prasad|Rajendra|,Comedy|Drama|Musical,Rajinder Singh Bedi ComedyDramaMusical MadhubalaBharat BhushanJeevanKammoNishiCuckooDhumalMehmoodMuradBadri PrasadRajendra Phagun
4531,4531,4531,Dilli Ka Thug,['S.D. Narang'],Kishore Kumar|Nutan|Amar|Smriti Biswas|Madan Puri|Iftekhar|Krishnakant|Nirula|Mirajkar|Kumud Tripathi|Niroo|Pratima Devi|Tun Tun|Bela Paramnick|,Action|Comedy|Crime,SD Narang ActionComedyCrime Kishore KumarNutanAmarSmriti BiswasMadan PuriIftekharKrishnakantNirulaMirajkarKumud TripathiNirooPratima DeviTun TunBela Paramnick Dilli Ka Thug
4532,4532,4532,Adalat,['Narendra Bedi'],Nargis|Pradeep Kumar|Pran|Achala Sachdev|Jawahar Kaul|Roopmala|Murad|Pratima Devi|Chand Burke|Paro|Kamal|Lala Yaqoob|Ramlal|Sagar|,Drama|Musical|Romance,Narendra Bedi DramaMusicalRomance NargisPradeep KumarPranAchala SachdevJawahar KaulRoopmalaMuradPratima DeviChand BurkeParoKamalLala YaqoobRamlalSagar Adalat
4533,4533,4533,Chandu,['William Cameron Menzies Marcel Varnel'],Mehmood|Om Prakash|Pran|Shashikala|,Drama,William Cameron Menzies Marcel Varnel Drama MehmoodOm PrakashPranShashikala Chandu
4534,4534,4534,Aji Bas Shukriya,['Mohammed Hussain'],Geeta Bali|Suresh|Johnny Walker|Tun Tun|Shammi|Mukri|Shubha Khote|Anwar Hussain|,Comedy|Drama|Musical,Mohammed Hussain ComedyDramaMusical Geeta BaliSureshJohnny WalkerTun TunShammiMukriShubha KhoteAnwar Hussain Aji Bas Shukriya
